"Rank","Name","Symbol","marketcap","price (USD)","country"
"437","Musashi Seimitsu Industry","7220.T","1066928811","16.2782","Japan"
"438","Tosei Corporation","8923.T","1060567333","10.9371","Japan"
"439","Star Asia Investment Corporation","3468.T","1056667052","393.252","Japan"
"440","Japan Securities Finance","8511.T","1049491161","12.9002","Japan"
"441","Nakanishi","7716.T","1048533164","12.6261","Japan"
"442","Mitsubishi Logisnext","7105.T","1048156190","9.80261","Japan"
"443","Toyo Construction","1890.T","1043242253","11.1028","Japan"
"444","Shochiku","9601.T","1039825252","75.6547","Japan"
"445","TOWA Corporation","6315.T","1028109163","13.7033","Japan"
"446","Komeri Co.,Ltd.","8218.T","1026544978","21.7977","Japan"
"447","Daiseki","9793.T","1024708243","21.6703","Japan"
"448","The Musashino Bank","8336.T","1023704299","30.9757","Japan"
"449","Fujita Kanko","9722.T","1008241643","16.8263","Japan"
"450","Noritake","5331.T","1000739528","36.3933","Japan"
"451","Noevir Holdings","4928.T","997058123","29.1911","Japan"
"452","Lifenet Insurance Company","7157.T","994928162","12.3839","Japan"
"453","TOMONY Holdings","8600.T","964108006","4.99691","Japan"
"454","KITZ Corporation","6498.T","963010706","11.0837","Japan"
"455","Totech Corporation","9960.T","961988592","23.3593","Japan"
"456","SBS Holdings","2384.T","956880320","24.0922","Japan"
"457","Iino Kaiun Kaisha","9119.T","956223381","9.03778","Japan"
"458","Heiwa Real Estate","8803.T","951180167","14.2386","Japan"
"459","Union Tool","6278.T","939178475","54.3669","Japan"
"460","Riken Keiki","7734.T","937090806","20.3955","Japan"
"461","Raito Kogyo","1926.T","923680732","21.5747","Japan"
"462","BML, Inc.","4694.T","922176278","24.6021","Japan"
"463","Hogy Medical","3593.T","917922413","42.5757","Japan"
"464","Bunka Shutter","5930.T","917694662","13.0468","Japan"
"465","NS United Kaiun Kaisha","9110.T","916207752","38.879","Japan"
"466","Takasago International Corporation","4914.T","915946897","9.3947","Japan"
"467","Mitani Sekisan","5273.T","915668918","52.1361","Japan"
"468","Mani, Inc.","7730.T","910962370","9.24811","Japan"
"469","Shin Nippon Air Technologies","1952.T","910474391","20.045","Japan"
"470","ITOCHU-SHOKUHIN","2692.T","908882011","71.6394","Japan"
"471","Heiwado","8276.T","908742499","18.3751","Japan"
"472","Yellow Hat","9882.T","901245188","10.4527","Japan"
"473","PHC Holdings Corporation","6523.T","896632727","7.08745","Japan"
"474","Elecom","6750.T","895311852","10.9754","Japan"
"475","Krosaki Harima","5352.T","892900675","26.5142","Japan"
"476","Mitsui High-tec","6966.T","885228765","4.84394","Japan"
"477","KOMEDA Holdings","3543.T","880364639","19.3439","Japan"
"478","Kurabo Industries","3106.T","877496914","54.0482","Japan"
"479","GungHo Online Entertainment","3765.T","871695364","16.0424","Japan"
"480","MATSUDA SANGYO","7456.T","869648943","33.6527","Japan"
"481","Kanamoto","9678.T","869018267","24.9527","Japan"
"482","Prima Meat Packers","2281.T","853744882","16.9857","Japan"
"483","Tadano","6395.T","853234869","6.7624","Japan"
"484","Sapporo","2501.T","849417237","10.8943","Japan"
"485","Adastria","2685.T","845258664","18.3241","Japan"
"486","TOCALO Co.,Ltd.","3433.T","842963764","14.1749","Japan"
"487","RAIZNEXT Corporation","6379.T","837602365","15.507","Japan"
"488","Cybozu","4776.T","829716540","17.9417","Japan"
"489","Royal holdings","8179.T","827269806","8.40042","Japan"
"490","Autobacs Seven","9832.T","825357572","10.5101","Japan"
"491","Happinet","7552.T","824293479","18.7703","Japan"
"492","IDOM Inc.","7599.T","818504146","8.15184","Japan"
"493","Aisan Industry","7283.T","812361177","14.245","Japan"
"494","Aeon Hokkaido Corporation","7512.T","811763082","5.82548","Japan"
"495","Nippon Seiki","7287.T","800432949","13.9263","Japan"
"496","Mochida Pharmaceutical","4534.T","798724030","22.5307","Japan"
"497","Digital Garage","4819.T","791558843","17.247","Japan"
"498","Aoyama Trading","8219.T","782546009","16.1635","Japan"
"499","TV TOKYO Holdings","9413.T","777242097","29.1911","Japan"
"500","Arclands Corporation","9842.T","773601052","12.3138","Japan"
"501","JCU Corporation","4975.T","771934843","31.1988","Japan"
"502","Sumitomo Osaka Cement","5232.T","769257799","24.2197","Japan"
"503","Itoki Corporation","7972.T","768372900","15.5516","Japan"
"504","Mitsuuroko Group Holdings","8131.T","768260225","14.0347","Japan"
"505","Kyokuto Kaihatsu Kogyo","7226.T","766925149","19.9494","Japan"
"506","Nissin Corporation","9066.T","762935226","51.9081","Japan"
"507","The Japan Wool Textile Co., Ltd. (Nikke Group)","3201.T","758018359","11.3132","Japan"
"508","Shikoku Kasei Holdings Corp","4099.T","756670960","17.4956","Japan"
"509","Menicon Co., Ltd.","7780.T","754492181","10.1787","Japan"
"510","Maxvalu Tokai","8198.T","753889125","23.6461","Japan"
"511","Doshisha Co.","7483.T","745953646","21.0329","Japan"
"512","Sun Frontier Fudousan","8934.T","742400474","15.2967","Japan"
"513","Hankyu Hanshin REIT","8977.T","736864060","1059.93","Japan"
"514","Sanyo Chemical Industries","4471.T","735993728","33.2702","Japan"
"515","Tsuburaya Fields Holdings","2767.T","735757936","11.823","Japan"
"516","Nitta Corporation","5186.T","727223212","26.8648","Japan"
"517","ES-CON JAPAN","8892.T","724426027","7.57185","Japan"
"518","Kohnan Shoji","7516.T","722919015","25.59","Japan"
"519","World Co., Ltd.","3612.T","721402134","19.7263","Japan"
"520","Yuasa Trading","8074.T","714473470","33.9713","Japan"
"521","ARGO GRAPHICS","7595.T","709890614","10.3316","Japan"
"522","SAKURA Internet","3778.T","709138074","17.7186","Japan"
"523","Japan Lifeline","7575.T","704705903","10.0448","Japan"
"524","GOLDCREST Co.,Ltd.","8871.T","701148241","21.0966","Japan"
"525","JBCC Holdings","9889.T","700868695","10.1787","Japan"
"526","Earth Corporation","4985.T","691364488","31.645","Japan"
"527","Nichiha Corporation","7943.T","690966942","20.8098","Japan"
"528","BellSystem24","6183.T","682814884","9.18437","Japan"
"529","Shibaura Electronics","6957.T","681190081","45.1889","Japan"
"530","ATOM Corporation","7412.T","680729096","3.52461","Japan"
"531","Kyoei Steel","5440.T","678625920","15.6153","Japan"
"532","Star Micronics","7718.T","667179770","13.9391","Japan"
"533","Funai Soken Holdings Incorporated","9757.T","663837537","7.30415","Japan"
"534","Zuken Inc.","6947.T","660382316","31.1351","Japan"
"535","Eslead Corporation","8877.T","659866195","42.7669","Japan"
"536","Japan Pulp and Paper Company","8032.T","657853556","5.61515","Japan"
"537","Arata Corporation","2733.T","657189986","19.6307","Japan"
"538","Hibiya Engineering","1982.T","657051466","30.434","Japan"
"539","Plus Alpha Consulting","4071.T","651596085","15.3731","Japan"
"540","Axial Retailing","8255.T","651009372","7.34877","Japan"
"541","Shibaura Machine","6104.T","645822573","27.3109","Japan"
"542","NIPPON KANZAI Holdings","9347.T","644483424","17.7441","Japan"
"543","NAGAWA Co., Ltd.","9663.T","643389675","41.1735","Japan"
"544","RS Technologies","3445.T","635870121","24.0285","Japan"
"545","Zojirushi","7965.T","633751125","9.98107","Japan"
"546","Samty Residential Investment Corporation","3459.T","633170677","742.525","Japan"
"547","COVER Corporation","5253.T","631407040","9.61777","Japan"
"548","Showa Sangyo","2004.T","624494719","19.2164","Japan"
"549","Premium Water Holdings","2588.T","621654719","20.9692","Japan"
"550","Daiichi Jitsugyo","8059.T","616698491","19.312","Japan"
"551","Shinagawa Refractories","5351.T","615142712","13.4802","Japan"
"552","Sinko Industries","6458.T","613507257","9.02503","Japan"
"553","Takara Bio","4974.T","610147480","5.06702","Japan"
"554","Nachi-Fujikoshi","6474.T","603809184","27.7252","Japan"
"555","Toho Titanium","5727.T","600261338","8.43228","Japan"
"556","Okamoto Industries","5122.T","595898193","34.8636","Japan"
"557","Fujibo Holdings","3104.T","594010237","52.7735","Japan"
"558","Shoei Co., Ltd.","7839.T","592989951","11.3259","Japan"
"559","Zeria Pharmaceutical","4559.T","589704317","13.3782","Japan"
"560","Wellneo Sugar","2117.T","589465079","17.9991","Japan"
"561","Senshu Electric","9824.T","587756160","34.29","Japan"
"562","Keihanshin Building","8818.T","585575553","12.2756","Japan"
"563","EIZO Corporation","6737.T","563664119","14.2578","Japan"
"564","KYORIN Pharmaceutical","4569.T","562810078","9.79624","Japan"
"565","Tri Chemical Laboratories","4369.T","561300037","17.2725","Japan"
"566","Tohokushinsha Film","2329.T","559899852","4.06636","Japan"
"567","Weathernews Inc.","4825.T","555747176","25.0801","Japan"
"568","JCR Pharmaceuticals","4552.T","553563593","4.53801","Japan"
"569","NEC Capital Solutions","8793.T","553392805","25.6856","Japan"
"570","IDEC Corporation","6652.T","549551054","18.6109","Japan"
"571","S Foods Inc.","2292.T","549504272","17.349","Japan"
"572","Teikoku Sen-i Co., Ltd.","3302.T","540758140","21.0329","Japan"
"573","Fujimori Kogyo","7917.T","531841116","7.36152","Japan"
"574","Osaka Steel","5449.T","529932798","17.7123","Japan"
"575","NIPPON PARKING DEVELOPMENT","2353.T","525049353","1.65714","Japan"
"576","Kameda Seika","2220.T","524064363","24.8571","Japan"
"577","Saibu Gas Holdings","9536.T","520030992","14.3725","Japan"
"578","eGuarantee","8771.T","517825688","11.4661","Japan"
"579","Eiken Chemical","4549.T","505774186","15.3413","Japan"
"580","Riso Kagaku Corporation","6413.T","505380346","7.95426","Japan"
"581","Daikokutenbussan","2791.T","504889600","36.457","Japan"
"582","Strike Company","6196.T","504250413","26.2593","Japan"
"583","Daiwa Industries","6459.T","500251398","10.134","Japan"
"584","Japan Display","6740.T","494642147","0.127472","Japan"
"585","TOKAI Corp.","9729.T","494481802","16.0105","Japan"
"586","TRE Holdings Corporation","9247.T","491980818","10.2551","Japan"
"587","Kappa Create","7421.T","485983941","9.84722","Japan"
"588","Computer Engineering &amp; Consulting","9692.T","485770600","15.5644","Japan"
"589","Pasona Group","2168.T","480352708","12.9066","Japan"
"590","J.S.B.Co.","3480.T","480293342","22.7538","Japan"
"591","Nxera Pharma","4565.T","476995594","5.27097","Japan"
"592","The Shikoku Bank","8387.T","467939163","11.2048","Japan"
"593","Medley, Inc.","4480.T","467796257","15.0226","Japan"
"594","One REIT, Inc.","3290.T","466619646","579.361","Japan"
"595","Kintetsu Department Store","8244.T","463757769","11.6828","Japan"
"596","The Pack Corporation","3950.T","459123692","8.22833","Japan"
"597","Nichireki Group","5011.T","443254352","15.5771","Japan"
"598","Chofu Seisakusho","5946.T","437127595","12.8556","Japan"
"599","Gree","3632.T","436844003","2.54944","Japan"
"600","SHO-BOND Holdings","1414.T","432078445","8.4768","Japan"
"601","Daiichi Kensetsu","1799.T","429295053","24.2516","Japan"
"602","Hokkaido Gas","9534.T","427406550","4.84394","Japan"
"603","SRA Holdings","3817.T","422748142","33.4614","Japan"
"604","Vital KSK Holdings","3151.T","422421160","8.73184","Japan"
"605","Fujiya Co., Ltd.","2211.T","414981257","16.0997","Japan"
"606","Shofu Inc.","7979.T","413969142","11.6318","Japan"
"607","I'LL inc.","3854.T","405999124","16.2208","Japan"
"608","Simplex Holdings","4373.T","402291769","7.06068","Japan"
"609","RENOVA, Inc.","9519.T","394998478","4.36592","Japan"
"610","Universal Entertainment Corporation","6425.T","393141694","5.07339","Japan"
"611","West Holdings","1407.T","386236604","9.73887","Japan"
"612","Chubu Steel Plate","5461.T","385052918","14.2131","Japan"
"613","en Japan","4849.T","380468208","9.82173","Japan"
"614","Maruzen","5982.T","373521870","23.5823","Japan"
"615","gremz, Inc.","3150.T","372083413","16.1061","Japan"
"616","Iwaki Co.","6237.T","370440883","16.6989","Japan"
"617","Kyokuyo","1301.T","369044823","31.0713","Japan"
"618","COLOPL","3668.T","351223045","2.73428","Japan"
"619","Avex Inc.","7860.T","343501220","8.08174","Japan"
"620","AlphaPolis","9467.T","303583332","10.4463","Japan"
"621","World Holdings","2429.T","295827986","16.5331","Japan"
"622","Nippon Air conditioning Services","4658.T","284764528","8.22195","Japan"
"623","YAKUODO HOLDINGS","7679.T","268649449","13.8116","Japan"
"624","MTI Ltd.","9438.T","257462587","4.63999","Japan"
"625","Bushiroad","7803.T","255866918","1.88659","Japan"
"626","Akatsuki Inc","3932.T","243776856","16.9028","Japan"
"627","Keiyo Gas","9539.T","241827421","7.52086","Japan"
"628","PLAID,Inc.","4165.T","212130266","5.169","Japan"
"629","Miyakoshi Holdings","6620.T","206577091","5.16262","Japan"
"630","Marvelous","7844.T","196509445","3.24417","Japan"
"631","KLab","3656.T","183560172","2.40922","Japan"
"632","FuRyu","6238.T","180299013","6.80701","Japan"
"633","OPTiM","3694.T","176993277","3.2123","Japan"
"634","ISE Chemicals","4107.T","162606456","31.9083","Japan"
"635","Bank of Innovation","4393.T","155021237","39.0065","Japan"
"636","Ateam","3662.T","146622684","7.8969","Japan"
"637","CyberStep","3810.T","129696718","1.99494","Japan"
"638","UNITED","2497.T","118848102","3.17406","Japan"
"639","gumi","3903.T","115394930","2.26263","Japan"
"640","Akatsuki Corp.","8737.T","113820799","3.76043","Japan"
"641","Nankai Tatsumura Construction","1850.T","110425231","3.83054","Japan"
"642","Nihon Falcom","3723.T","108236779","10.5292","Japan"
"643","Serverworks","4434.T","89091190","11.5872","Japan"
"644","Drecom","3793.T","73958876","2.54944","Japan"
"645","Leifras","LFS","70372072","2.69","Japan"
"646","Aiming Inc","3911.T","66627640","1.42769","Japan"
"647","coly","4175.T","65865806","11.9696","Japan"
"648","Imagineer","4644.T","64875816","6.73053","Japan"
"649","SYLA Technologies","SYT","60158036","2.26","Japan"
"650","Mobile Factory","3912.T","50310482","7.04921","Japan"
"651","Kayak Inc","3904.T","49300394","3.19955","Japan"
"652","geechs","7060.T","39340420","3.86241","Japan"
"653","Aeria","3758.T","37457862","1.8101","Japan"
"654","Gala Incorporated","4777.T","36438424","1.30022","Japan"
"655","Edia","3935.T","34083143","5.78086","Japan"
"656","CROOZ","2138.T","33661455","3.51823","Japan"
"657","Tose Software","4728.T","31690690","4.18109","Japan"
"658","CAVE Interactive","3760.T","30997486","4.67823","Japan"
"659","Nippon Ichi Software","3851.T","26124129","5.16262","Japan"
"660","AltPlus","3672.T","25932200","0.344175","Japan"
"661","Lead Real Estate","LRE","23873326","1.75","Japan"
"662","WonderPlanet","4199.T","23724812","9.30547","Japan"
"663","TENDA","4198.T","23694395","3.59471","Japan"
"664","Yuke's","4334.T","21838132","2.59406","Japan"
"665","Earlyworks","ELWS","19889722","6.52","Japan"
"666","NJ Holdings","9421.T","19397125","3.66482","Japan"
"667","Appirits","4174.T","16761441","4.14922","Japan"
"668","Mynet","3928.T","15317141","1.79098","Japan"
"669","Silicon Studio","3907.T","13453973","4.9013","Japan"
"670","Mobcast","3664.T","12923791","0.216703","Japan"
"671","enish","3667.T","12185984","0.363296","Japan"
"672","Voltage","3639.T","10833204","1.66989","Japan"
"673","Axel Mark","3624.T","10115936","0.516262","Japan"
"674","Warrantee Inc.","WRNT","6084926","0.2716","Japan"
"675","WealthNavi","7342.T","0","7.70545","Japan"
